time,open,high,low,close,volume
2023-04-14,2012.00000000,2128.76000000,2009.22000000,2099.99000000,896307.39340000
2023-04-15,2099.99000000,2111.85000000,2071.13000000,2090.60000000,321823.78510000
2023-04-16,2090.61000000,2141.54000000,2072.72000000,2118.67000000,319880.43930000
2023-04-17,2118.66000000,2120.51000000,2056.25000000,2074.00000000,426972.70710000
2023-04-18,2073.99000000,2125.00000000,2051.00000000,2103.50000000,414244.61350000
2023-04-19,2103.51000000,2104.60000000,1923.03000000,1933.73000000,775389.06020000
2023-04-20,1933.74000000,1982.99000000,1914.43000000,1942.98000000,625336.24950000
2023-04-21,1942.98000000,1957.27000000,1825.00000000,1848.78000000,688876.61860000
2023-04-22,1848.77000000,1887.31000000,1841.64000000,1874.16000000,331007.58790000
2023-04-23,1874.17000000,1882.01000000,1836.37000000,1862.00000000,344514.34440000
2023-04-24,1862.01000000,1890.00000000,1806.00000000,1841.84000000,447864.05170000
2023-04-25,1841.84000000,1877.86000000,1801.66000000,1866.10000000,457870.60470000
2023-04-26,1866.10000000,1964.72000000,1785.00000000,1866.01000000,897709.72980000
2023-04-27,1866.01000000,1940.96000000,1861.19000000,1908.68000000,727472.94660000
2023-04-28,1908.68000000,1923.88000000,1873.94000000,1890.94000000,387630.77910000
2023-04-29,1890.93000000,1918.00000000,1883.05000000,1907.80000000,182046.14060000
2023-04-30,1907.79000000,1939.00000000,1866.16000000,1870.09000000,355336.48880000
2023-05-01,1870.08000000,1886.49000000,1806.12000000,1830.73000000,445519.17790000
2023-05-02,1830.73000000,1881.87000000,1822.94000000,1870.08000000,373753.20270000
2023-05-03,1870.09000000,1916.52000000,1842.64000000,1905.12000000,465185.25010000
2023-05-04,1905.12000000,1918.26000000,1866.71000000,1877.07000000,354528.61440000
2023-05-05,1877.07000000,1998.36000000,1875.65000000,1993.30000000,546608.87500000
2023-05-06,1993.30000000,2019.00000000,1860.00000000,1896.33000000,608106.99150000
2023-05-07,1896.33000000,1933.33000000,1867.59000000,1870.40000000,413268.83570000
2023-05-08,1870.41000000,1883.97000000,1810.73000000,1847.56000000,625316.61680000
2023-05-09,1847.55000000,1861.88000000,1830.99000000,1846.52000000,304396.18600000
2023-05-10,1846.53000000,1887.47000000,1790.51000000,1840.84000000,639933.38550000
2023-05-11,1840.83000000,1842.02000000,1772.68000000,1794.30000000,522096.07250000
2023-05-12,1794.31000000,1818.63000000,1740.00000000,1807.45000000,565539.83090000
2023-05-13,1807.45000000,1817.03000000,1785.23000000,1795.11000000,212895.43730000
2023-05-14,1795.12000000,1824.00000000,1789.82000000,1799.21000000,218101.09770000
2023-05-15,1799.20000000,1846.70000000,1785.05000000,1816.20000000,388171.92610000
2023-05-16,1816.21000000,1832.64000000,1796.20000000,1824.21000000,311238.67860000
2023-05-17,1824.21000000,1837.50000000,1783.68000000,1822.12000000,352097.99130000
2023-05-18,1822.12000000,1831.92000000,1771.12000000,1800.56000000,293755.31100000
2023-05-19,1800.56000000,1829.54000000,1796.81000000,1812.32000000,243116.46760000
2023-05-20,1812.31000000,1828.87000000,1807.06000000,1819.42000000,127754.43490000
2023-05-21,1819.42000000,1828.98000000,1797.21000000,1804.91000000,161517.80530000
2023-05-22,1804.91000000,1828.27000000,1792.01000000,1817.35000000,237498.94230000
2023-05-23,1817.36000000,1872.50000000,1815.24000000,1854.05000000,396869.60970000
2023-05-24,1854.06000000,1854.09000000,1777.60000000,1799.89000000,420846.14450000
2023-05-25,1799.89000000,1818.81000000,1761.41000000,1805.60000000,350633.00890000
2023-05-26,1805.61000000,1838.20000000,1796.99000000,1827.79000000,275690.68540000
2023-05-27,1827.80000000,1836.12000000,1812.18000000,1829.89000000,138824.94060000
2023-05-28,1829.89000000,1918.65000000,1823.60000000,1908.64000000,378392.43710000
2023-05-29,1908.64000000,1927.62000000,1873.65000000,1892.60000000,313593.49420000
2023-05-30,1892.60000000,1917.00000000,1881.19000000,1900.59000000,272665.84020000
2023-05-31,1900.58000000,1907.13000000,1846.95000000,1873.63000000,319255.56810000
2023-06-01,1873.63000000,1889.20000000,1840.00000000,1861.78000000,270496.60970000
2023-06-02,1861.78000000,1910.00000000,1847.51000000,1906.68000000,313004.06580000
2023-06-03,1906.69000000,1907.92000000,1881.60000000,1892.06000000,148818.24270000
2023-06-04,1892.05000000,1914.63000000,1884.22000000,1890.01000000,172683.01190000
2023-06-05,1890.00000000,1890.63000000,1778.00000000,1810.50000000,555361.26830000
2023-06-06,1810.49000000,1898.29000000,1797.18000000,1884.64000000,491407.21740000
2023-06-07,1884.65000000,1897.80000000,1821.18000000,1832.13000000,429196.70640000
2023-06-08,1832.12000000,1861.28000000,1828.31000000,1845.64000000,189270.48530000
2023-06-09,1845.65000000,1855.00000000,1827.00000000,1840.37000000,198324.32520000
2023-06-10,1840.37000000,1844.99000000,1715.03000000,1751.53000000,652324.66950000
2023-06-11,1751.52000000,1778.25000000,1738.72000000,1752.76000000,219956.24340000
2023-06-12,1752.77000000,1759.33000000,1720.00000000,1742.57000000,302132.48190000
2023-06-13,1742.57000000,1770.13000000,1724.22000000,1740.12000000,284268.00180000
2023-06-14,1740.12000000,1750.03000000,1630.43000000,1650.95000000,415847.32700000
2023-06-15,1650.95000000,1680.91000000,1626.01000000,1666.96000000,370774.76960000
2023-06-16,1666.96000000,1729.50000000,1649.86000000,1717.92000000,311734.59040000
2023-06-17,1717.91000000,1770.00000000,1714.26000000,1727.76000000,210914.92160000
2023-06-18,1727.75000000,1747.84000000,1712.00000000,1720.95000000,156535.01280000
2023-06-19,1720.95000000,1752.19000000,1698.00000000,1737.11000000,245162.75890000
2023-06-20,1737.10000000,1796.99000000,1714.72000000,1791.99000000,328855.68460000
2023-06-21,1791.99000000,1901.00000000,1787.38000000,1889.11000000,613755.88690000
2023-06-22,1889.10000000,1933.17000000,1865.98000000,1872.01000000,416714.57190000
2023-06-23,1872.00000000,1936.42000000,1861.01000000,1892.63000000,401147.93240000
2023-06-24,1892.63000000,1906.00000000,1864.77000000,1874.96000000,226910.29410000
2023-06-25,1874.95000000,1930.00000000,1868.83000000,1898.80000000,338757.61580000
2023-06-26,1898.80000000,1909.10000000,1837.18000000,1858.97000000,458743.86100000
2023-06-27,1858.97000000,1912.53000000,1855.19000000,1889.58000000,366634.57070000
2023-06-28,1889.58000000,1890.19000000,1816.56000000,1828.02000000,337836.57920000
2023-06-29,1828.03000000,1880.00000000,1827.84000000,1851.99000000,241844.82810000
2023-06-30,1851.99000000,1948.60000000,1825.01000000,1933.79000000,716538.10350000
2023-07-01,1933.80000000,1944.56000000,1909.44000000,1924.50000000,178373.36880000
2023-07-02,1924.50000000,1959.20000000,1885.75000000,1937.48000000,255852.78320000
2023-07-03,1937.49000000,1976.16000000,1933.55000000,1955.54000000,322102.42950000
2023-07-04,1955.55000000,1967.08000000,1931.58000000,1936.20000000,205525.09840000
2023-07-05,1936.19000000,1942.50000000,1894.51000000,1910.36000000,267633.47830000
2023-07-06,1910.35000000,1958.00000000,1846.00000000,1846.17000000,456362.74100000
2023-07-07,1846.17000000,1878.00000000,1826.00000000,1870.91000000,232944.34660000
2023-07-08,1870.92000000,1876.00000000,1842.80000000,1865.24000000,125819.82730000
2023-07-09,1865.24000000,1879.36000000,1856.15000000,1862.80000000,135046.37430000
2023-07-10,1862.81000000,1905.50000000,1846.63000000,1880.40000000,247868.14940000
2023-07-11,1880.41000000,1891.99000000,1862.38000000,1878.30000000,177771.61170000
2023-07-12,1878.31000000,1902.00000000,1864.37000000,1871.82000000,264406.86730000
2023-07-13,1871.82000000,2012.63000000,1862.59000000,2004.49000000,548861.42070000
2023-07-14,2004.49000000,2029.11000000,1898.39000000,1937.83000000,498724.03590000
2023-07-15,1937.82000000,1946.37000000,1926.23000000,1931.41000000,135181.76630000
2023-07-16,1931.41000000,1943.55000000,1914.00000000,1922.11000000,148667.10510000
2023-07-17,1922.12000000,1936.18000000,1873.26000000,1911.20000000,277159.03490000
2023-07-18,1911.21000000,1917.19000000,1875.73000000,1897.21000000,215780.50060000
2023-07-19,1897.21000000,1922.04000000,1882.17000000,1888.63000000,218045.00050000
2023-07-20,1888.64000000,1929.05000000,1878.00000000,1891.59000000,292907.51640000
2023-07-21,1891.59000000,1905.74000000,1884.64000000,1891.73000000,165554.04280000
2023-07-22,1891.73000000,1897.35000000,1851.18000000,1866.52000000,131901.64870000
2023-07-23,1866.52000000,1905.25000000,1857.82000000,1888.73000000,153501.01780000
2023-07-24,1888.74000000,1890.86000000,1833.19000000,1850.00000000,276504.55470000
2023-07-25,1850.00000000,1868.71000000,1845.45000000,1857.66000000,152251.21000000
2023-07-26,1857.66000000,1888.00000000,1848.35000000,1872.00000000,272090.53330000
2023-07-27,1871.99000000,1886.11000000,1854.84000000,1861.28000000,163766.42590000
2023-07-28,1861.29000000,1883.39000000,1856.52000000,1874.19000000,138695.71470000
2023-07-29,1874.20000000,1886.58000000,1869.54000000,1880.46000000,72867.02690000
2023-07-30,1880.45000000,1885.30000000,1848.17000000,1861.79000000,158657.59020000
2023-07-31,1861.79000000,1877.40000000,1851.02000000,1856.14000000,168204.45340000
2023-08-01,1856.13000000,1875.62000000,1813.80000000,1873.47000000,358476.09660000
2023-08-02,1873.48000000,1879.74000000,1821.21000000,1839.90000000,254213.05530000
